guid,city,latitude,longitude,date,level,desc,source,source2,source3,,,,
2014-29,Basheer,35.5215,44.3879,6/17/14,Contested,"ISIS attacks repelled for past 24 hours, reports that ISIS were repelled ",Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,The guardian: http://www.theguardian.com/politics/2014/jun/17/british-embassy-iran-tehran-reopened-william-hague,,,,,
2014-30,Baquba,33.7451,44.6416,6/17/14,Contested,"ISIS attacks repelled for past 24 hours, reports that ISIS managed to gain control  ",Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,The Guardian: http://www.theguardian.com/world/2014/jun/17/fighting-continues-in-iraq-as-barack-obama-waits-to-act-over-isis-jihadists,BBC: http://www.bbc.com/news/world-middle-east-27891843,,,,
2014-31,Kirkuk,35.4631,44.3797,6/18/14,Contested,60 foreign contruction workings are abducted near city by militants. Reported battle between ISIS and Baathist during which 17 people are reported to have been killed  ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/2014/06/22/world/middleeast/iraq.html,,,,,
2014-32,Tal Afar,36.3784,42.4416,6/18/14,ISIS,Iraqi govt launch forces to try and reclaim city ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-33,Baiji,34.9292,43.4931,6/18/14,Contested ,official source told Reuters the rebels had seized 75% of the Baiji refinery north of Baghdad.,BBC: http://www.bbc.com/news/world-middle-east-27897648,,,,,,
2014-34,Khalis ,33.843,44.5219,6/18/14,ISIS (IS),,al Monitor: http://www.al-monitor.com/pulse/originals/2014/06/iraq-crisis-isis-cross-critical-sectarian-points.html,,,,,,
2014-35,Baiji,34.9292,43.4931,6/19/14,ISIS,"Having been under seige for around 10 days, ISIS now claim to have fully capture Baiji oil refinery ",BBC: http://www.bbc.com/news/world-middle-east-27990478,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-36,Al Qaim ,34.369073,41.094407,6/20/14,ISIS,Iraqi government claims to have abandoned crossing so that all their efforts could be concentrated on defending Baghdad from the oncoming ISIS forces.  ,NTY: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,
2014-37,Al Qaim ,34.369073,41.094407,6/21/14,ISIS,"ISIS capture border crossing, it is estimated that around 30 members of the Iraqi Army were killed ",Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,Guardian: http://www.theguardian.com/world/2014/jun/21/isis-iraq-crossing-border-syria,,,,
2014-38,Rawa ,34.4559,41.9017,6/21/14,ISIS,ISIS seized city from local army and police forces ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,BBC: http://www.bbc.com/news/world-middle-east-27960142,,,,,
2014-39,Hawija ,43.7667,35.3167,6/21/14,ISIS,ISIS and Sunni militant allies who held seize Mosul reportedly clash; 17 killed. ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-40,Rashad,35.146,44.1352,6/21/14,Contested,"Reports that there have been clashes here due to people refusing to plegde their alligence to ISIS, other reports state that the clashes where due to ISIS wanting to kill tribal leaders around here in order to stay in control. ",al-montior: http://www.al-monitor.com/pulse/originals/2014/06/iraq-isis-sunnis-clash-future.html,,,,,,
2014-41,Ruthbah ,40.2844,33.0381,6/21/14,ISIS,,LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=37.561997%2c39.70459&spn=6.094982%2c12.084961&z=6&iwloc=0004fb83527099a223992&dg=feature,,,,,,
2014-42,Rabia ,36.765,42.2107,6/21/14,Peshmerga Controlled,,The Economist: http://www.economist.com/news/middle-east-and-africa/21604628-kurds-are-benefiting-mess-iraq-will-independence-follow,"LWJ: https://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&msa=0&msid=206503076099972915830.0004fb81021906110e889&t=m&source=embed&ll=34.939985,41.616211&spn=6.302619,12.304687&z=6&dg=feature",,,,,
2014-43,Rawa ,34.4559,41.9017,6/22/14,ISIS,Government troops withdrew allowing ISIS to take over ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,,,,,
2014-44,Anah,34.3683,41.9951,6/22/14,ISIS,Government troops withdrew allowing ISIS to take over ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,BBC: http://www.bbc.com/news/world-middle-east-27960142,,,,,
2014-45,Trebil ,32.755,39.0449,6/22/14,ISIS,ISIS forces took control after Iraqi govt forces fled ,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,The Indepenent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis--the-great-unravelling-us-and-iran-need-to-work-together-fast-as-the-barbarians-are-at-the-gate-9555353.html,,,,,
2014-46,Waleed ,33.431,38.9383,6/22/14,ISIS,"ISIS forces took control after Iraqi government forces fled, the police are also said to have fled once ISIS militants could be seen to be approaching. ",NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,The Indepenent: http://www.independent.co.uk/news/world/middle-east/iraq-crisis--the-great-unravelling-us-and-iran-need-to-work-together-fast-as-the-barbarians-are-at-the-gate-9555353.html,BBC: http://www.bbc.com/news/world-middle-east-27966774,,,,
2014-47,Rutba,33.0364,40.2841,6/22/14,ISIS,Government troops withdraw allowing ISIS to take over ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,NYT: http://www.nytimes.com/interactive/2014/06/12/world/middleeast/the-iraq-isis-conflict-in-maps-photos-and-video.html,The Economist: http://www.economist.com/news/middle-east-and-africa/21605946-ructions-neighbouring-iraq-are-making-jordans-rulers-edgier,,,,
2014-48,Al-Alam,34.6689,43.6967,6/22/14,Unknown,Under ISIS attack on the 22/06/14 reports that ISIS clashed with security forces and pro-government tribal fighters ,Telegraph: http://www.telegraph.co.uk/news/worldnews/middleeast/iraq/10906350/Iraq-crisis-map-how-the-Isis-front-line-has-shifted.html,,,,,,
